date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:37:31	125/125	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Thu,%2022%20Jun%202017%2002:33:57%20GMT	http://blog.chriskrycho.com/robots.txt		(from )
14:37:31	119190/119190	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Jun%202017%2002:33:57%20GMT	http://blog.chriskrycho.com/	blog.chriskrycho.com/index.html	(from )
14:37:32	3638/3638	---M-Z	200	added ('OK')	image/x-icon	date:Thu,%2022%20Jun%202017%2002:33:57%20GMT	http://blog.chriskrycho.com/favicon.ico	blog.chriskrycho.com/favicon.ico	(from http://blog.chriskrycho.com/)
14:37:33	80049/80049	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Jun%202017%2002:33:57%20GMT	http://blog.chriskrycho.com/p/about.html	blog.chriskrycho.com/p/about.html	(from http://blog.chriskrycho.com/)
14:37:34	80696/80696	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Jun%202017%2002:33:57%20GMT	http://blog.chriskrycho.com/p/biography.html	blog.chriskrycho.com/p/biography.html	(from http://blog.chriskrycho.com/)
14:37:36	81394/81394	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Jun%202017%2002:33:57%20GMT	http://blog.chriskrycho.com/2012/01/new-blogs.html	blog.chriskrycho.com/2012/01/new-blogs.html	(from http://blog.chriskrycho.com/)
14:37:37	204812/204812	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Jun%202017%2002:33:57%20GMT	http://blog.chriskrycho.com/search/label/Site%20News	blog.chriskrycho.com/search/label/Site%20News.html	(from http://blog.chriskrycho.com/)
14:37:38	84153/84153	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Jun%202017%2002:33:57%20GMT	http://blog.chriskrycho.com/2010/12/end-of-era.html	blog.chriskrycho.com/2010/12/end-of-era.html	(from http://blog.chriskrycho.com/)
14:37:38	88249/88249	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Jun%202017%2002:33:57%20GMT	http://blog.chriskrycho.com/2010/11/debt-and-dogged-discipline.html	blog.chriskrycho.com/2010/11/debt-and-dogged-discipline.html	(from http://blog.chriskrycho.com/)
14:37:40	126585/126585	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Jun%202017%2002:33:57%20GMT	http://blog.chriskrycho.com/search/label/Money	blog.chriskrycho.com/search/label/Money.html	(from http://blog.chriskrycho.com/)
14:37:42	128843/128843	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Jun%202017%2002:33:57%20GMT	http://blog.chriskrycho.com/search?updated-max=2010-11-15T19:50:00-06:00&max-results=3	blog.chriskrycho.com/search5964.html	(from http://blog.chriskrycho.com/)
14:37:44	140605/140605	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Jun%202017%2002:33:57%20GMT	http://blog.chriskrycho.com/search/label/100-word%20Thoughts	blog.chriskrycho.com/search/label/100-word%20Thoughts.html	(from http://blog.chriskrycho.com/)
14:37:44	78913/78913	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Jun%202017%2002:33:57%20GMT	http://blog.chriskrycho.com/2012/	blog.chriskrycho.com/2012/index.html	(from http://blog.chriskrycho.com/)
14:37:44	78976/78976	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Jun%202017%2002:33:57%20GMT	http://blog.chriskrycho.com/2012/01/	blog.chriskrycho.com/2012/01/index.html	(from http://blog.chriskrycho.com/)
14:37:44	252994/252994	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Jun%202017%2002:33:57%20GMT	http://blog.chriskrycho.com/2010/	blog.chriskrycho.com/2010/index.html	(from http://blog.chriskrycho.com/)
14:37:46	159492/159492	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Jun%202017%2002:33:57%20GMT	http://blog.chriskrycho.com/search/label/Art	blog.chriskrycho.com/search/label/Art.html	(from http://blog.chriskrycho.com/)
14:37:46	81458/81458	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Jun%202017%2002:33:57%20GMT	http://blog.chriskrycho.com/2010/12/	blog.chriskrycho.com/2010/12/index.html	(from http://blog.chriskrycho.com/)
14:37:46	114427/114427	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Jun%202017%2002:33:57%20GMT	http://blog.chriskrycho.com/2010/11/	blog.chriskrycho.com/2010/11/index.html	(from http://blog.chriskrycho.com/)
